block,job_size,canonical_name,frequency,business_segments,job_segments,sources_count,so_that,context_when,fitbase_value,barriers,drivers,previous_solution_problems,lpr_quote,sources,all_variants,cluster_id,concept_tag
Персонал и зарплаты,Small,Обучать и поддерживать сотрудников при переходе на новую CRM,1,S1,J1,1,,"Когда внедряю новую систему, хочу, чтобы сотрудники быстро освоили работу и не было сбоев","Закрепленный аккаунт-менеджер, обучение по ролям, техподдержка 9-21, база знаний",Нет,"Поддержка, обучение, консультации",Ранее переходы сопровождались сложностями и недопониманиями,"""Обучение можно разделить на несколько частей... И еще у нас есть техническая поддержка в системе.""",Lime Fitness — хореография,Обучать и поддерживать сотрудников при переходе на новую CRM,Пер-14,
Персонал и зарплаты,Big,Нанимать и контролировать работу правильных сотрудников,1,,,1,Чтобы не терять данные и снизить хаос,Когда появляются админы и тренеры,Роли и контроль,Непривычность сотрудников к CRM,CRM с ролями,В Excel все всё видят,,АГРЕГИРОВАНО (без привязки к конкретному интервью),Нанимать и контролировать работу правильных сотрудников,Пер-15,
Персонал и зарплаты,Middle,Управлять доступами и ролями сотрудников,1,,,1,Чтобы защитить данные и упростить интерфейс,Когда появляются тренеры и администраторы,Настройки ролей,Нет гибкой кастомизации,Защита данных,Все видят всё в Excel,,АГРЕГИРОВАНО (без привязки к конкретному интервью),Управлять доступами и ролями сотрудников,Пер-16,
Персонал и зарплаты,Middle,Мотивировать тренеров через оплату по факту,1,,,1,Чтобы справедливо оплачивать труд,Когда тренеры жалуются на отмены,Расчёт по посещениям,Нужны правила внутри клуба,Справедливость,Оплата по брони → обиды,,АГРЕГИРОВАНО (без привязки к конкретному интервью),Мотивировать тренеров через оплату по факту,Пер-17,
Персонал и зарплаты,Middle,Защитить базу и интеллектуальную собственность,1,S1,J2,1,,"Чтобы тренеры не уводили клиентов в свои «хрущевки» (подписание NDA, ограничение доступа к базе).",,,,,,"Каталина Алексеева — пилатес/реабилитация, Гатчина",Защитить базу и интеллектуальную собственность,Пер-18,
Персонал и зарплаты,Middle,Вести клиентскую базу и коммуникации,1,S6,J4,1,"не терять клиентов, быстро отвечать, вести персонализированную работу","клиенты пишут в соцсетях или звонят, тренеры/админы должны быстро реагировать","интеграция с Instagram, ВКонтакте, WhatsApp, Telegram, встроенный мессенджер",,,,"У нас прямые интеграции с Инстаграм, ВКонтакте, Ватсап, Телеграм, Макс — все",Денис — падл-клуб (старт),Вести клиентскую базу и коммуникации,Пер-19,
Персонал и зарплаты,Small,Видеокарточки тренеров — Анастасия хочет «прокачивать личный бренд тренеров»,1,S5,J1,1,,,,,,,,Анастасия (Завьялово) — микро-студия без админов,Видеокарточки тренеров — Анастасия хочет «прокачивать личный бренд тренеров»,Пер-20,
Персонал и зарплаты,Small,"Лист ожидания на занятия — но Анастасия не хочет, потому что «у тренеров на аренде свои клиенты»",1,S5,J1,1,,,,,,,,Анастасия (Завьялово) — микро-студия без админов,"Лист ожидания на занятия — но Анастасия не хочет, потому что «у тренеров на аренде свои клиенты»",Пер-21,
Персонал и зарплаты,Middle,Обучение сотрудников с возможностью записать курс,1,S2,J2,1,,"«Будет новый администратор, например, этот курс, чтобы он прослушал, просмотрел, всё попробовал»",,,,,,Марина — самописная 1С,Обучение сотрудников с возможностью записать курс,Пер-22,
Персонал и зарплаты,Small,"Аренда зала клиенту — Марина хочет добавить в услуги, в Fitbase есть",1,S2,J2,1,,,,,,,,Марина — самописная 1С,"Аренда зала клиенту — Марина хочет добавить в услуги, в Fitbase есть",Пер-23,
Персонал и зарплаты,Small,"Раздражение: «А вот аренда нам не нужна, мы можем это удалить?» — Ксения: «Удалить нельзя, она будет лишней информацией» → 1-балл к негативу",1,S2,J2,1,,,,,,,,Марина — самописная 1С,"Раздражение: «А вот аренда нам не нужна, мы можем это удалить?» — Ксения: «Удалить нельзя, она будет лишней информацией» → 1-балл к негативу",Пер-24,
Клиенты и удержание,Small,Программа лояльности с бонусами и «приведи друга»,5,"S1, S2","J1, J2",4,Чтобы повысить лояльность и удобство клиентов,"Когда клиенты довольны услугами, хочу, чтобы они приглашали друзей и получали бонусы","Функция ""Приведи друга"" с автоматическим начислением бонусов","""Клиент скачивает приложение, видит новости, расписание, может записываться.""",Разработка и публикация приложения за 14 дней,Ранее не было автоматизации приглашений и бонусов,"""Могут наши клиенты приглашать через приложение своих друзей... и только когда этот друг купит абонемент, тогда ему система автоматически начислит бонус.""",Lime Fitness — хореография; АГРЕГИРОВАНО (без привязки к конкретному интервью); Евгений — клуб корпоративный (1С КОРП); Танцевальная студия — Mobi-конкурент,"Настраивать бонусы вручную | Привлекать новых клиентов через программу ""Приведи друга"" | Программа лояльности с лигами (Сапфир, Бриллиант) — упомянуто, понравилось | Сохранять удобство для клиентов и повышать их лояльность | Управлять мобильным приложением для клиентов",Кли-07,программа_лояльности
Клиенты и удержание,Small,Собирать отзывы и обратную связь клиентов,3,"S1, S4, S6","J1, J4",3,Чтобы улучшать продукт и удерживать клиентов,"Когда клиенты посещают занятия, хочу собирать отзывы для повышения доверия и привлечения новых клиентов",Встроенная функция отзывов в приложении,Нет,"Наличие отзывов в приложении, возможность стимулировать клиентов",Ранее не было удобного способа сбора отзывов,"«Отзывы находятся у вас на модерации — поэтому все отзывы сначала поступают к вам, а потом уже вы выбираете оставлять или нет» (18:36) || ""Вот, кстати, по приложению там обратили внимание, очень классная штука, отзывы есть.""","Lime Fitness — хореография; Денис — падл-клуб (старт); Стас — Stretch House (франшиза, 65 студий)",Получать и обрабатывать отзывы клиентов через приложение | Проводить еженедельные кастдевы с клиентами | Управлять отзывами клиентов о тренерах (модерация),Кли-03,отзывы_обратная_связь
Клиенты и удержание,Middle,Отмечать посещения клиентов (QR/чекин/ручная),3,"S1, S6","J1, J3, J4",3,"Контролировать клиентскую базу, вовремя реагировать на отток, улучшать удержание","В студии много разовых занятий, клиенты ходят нерегулярно, нужно видеть кто ходит, кто пропал, кто не продлил абонемент","Гибкие отчеты, фильтры по статусам, возможность создавать абонементы на одно занятие","Не всегда понятно, как именно отслеживать разовые посещения","Возможность создавать абонементы на одно занятие, гибкие отчеты, фильтры по статусам","В 1С Фитнес было сложно отслеживать разовые посещения, неудобно вносить данные после начала занятия","«Покупаете самый дешёвый планшет, прибиваете на рецепцию... клиент подносит QR-код, система его приветствует» (52:21) || ""У нас есть разовые занятия... Как мне это отследить? Клиенты ходят разово, платят, а потом пропадают."" || «Автоматическое напоминание, я даже в этом процессе могу не участвовать»",Денис — падл-клуб (старт); Оксана — две детских студии (AppEvent); Ярослава — открытие студии пилатеса,"Отслеживать посещаемость и статус клиентов, включая разовые посещения | Привлечь и удержать клиентов через автоматические уведомления и мотивацию | Удобный чекин клиентов через QR на планшете",Кли-04,посещения_отметки
Клиенты и удержание,Small,Видеть кто «засыпает» и возвращать до отмены (удержание),2,S1,"J1, J2",2,"Своевременно реагировать на отток, предлагать альтернативы","Видеть, кто перестал ходить, и возвращать их, а не только надеяться на «сарафанку» и новых клиентов.","Отчеты по статусам клиентов, история посещений, заморозки",Возможные сложности с адаптацией к новой системе,"Группы клиентов, фильтры по статусам, история посещений","В Excel удобно видеть списки, в CRM нужно аналогичный функционал","""Хочется видеть, кто ходил, кто пропал, чтобы вовремя среагировать.""","Каталина Алексеева — пилатес/реабилитация, Гатчина; Оксана — две детских студии (AppEvent)","Контролировать клиентов, которые перестали посещать занятия, чтобы вовремя реагировать | Управлять удержанием и оттоком",Кли-06,удержание_отток
Клиенты и удержание,Small,Создавать и управлять абонементами с разной номенклатурой,2,"S1, S2","J1, J2",2,Чтобы родители могли управлять абонементами и получать уведомления,Когда дети посещают занятия,Родительский доступ в мобильном приложении,"""Дети без родителей не существуют в программе.""",Создание родительских аккаунтов и связок,Нет такой связки,,Евгений — клуб корпоративный (1С КОРП); Танцевальная студия — Mobi-конкурент,Программа лояльности через мобайл (бонусы за абонементы) | Управлять родительским доступом для детских клиентов,Кли-08,абонементы_управление
Клиенты и удержание,Middle,Собирать и анализировать обратную связь от клиентов и партнёров,2,"S3, S4",J4,2,Чтобы вовремя реагировать на проблемы и удерживать высокий уровень сервиса,"Когда читают всё — отзывы, соцсети, общаются с клиентами в саунах, наблюдают какие сравнения делают клиенты","Улучшение продукта, удержание клиентов, повышение лояльности",Возможно не масштабируется при росте до 50+ клубов,—,"Необходимость систематизации данных, высокая вовлечённость, эмоциональная нагрузка","«Если в сауне обсуждают что давно не чистили — только вышел, в телефоне пишу управляющему.» (53:40) | «Я, Женя, генеральный директор — все, поверьте, читаем отзывы.»  (54:22)","Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб); Стас — Stretch House (франшиза, 65 студий)",Собирать и анализировать обратную связь от клиентов и партнёров | Собирать и реагировать на обратную связь клиентов и сотрудников,Кли-13,
Клиенты и удержание,Small,BI-аналитика и дашборды по бизнесу,1,S3,J4,1,"Чтобы оперативно контролировать бизнес, принимать решения и не тратить время на поиск информации","Когда хочу быстро получать данные по выручке, клиентам и тренерам, без захода в CRM и сложных отчетов","Возможность кастомизации бота, получение актуальной аналитики в удобном формате","""Было бы классно, если бы клиенты могли настраивать бота сами, выбирать, какую аналитику видеть"" 1:10:04","Необходимость доработки бота, добавления кастомизации и фильтров","Текущий бот не кастомизируется, показывает некорректные данные, мешает спамом и уведомлениями",,"Дмитрий — сеть, JTBD-вариант",Получать точную и понятную аналитику по клиентам и выручке через Telegram-бота с возможностью кастомизации,Кли-01,аналитика_бизнеса
Клиенты и удержание,Small,"Социальные функции в МПК (чат, геймификация, знакомства)",1,S3,J4,1,"Чтобы повысить LTV клиентов, вовлеченность и сарафанное радио","Когда хочу стимулировать лояльных клиентов, чтобы они прогрессировали и дольше оставались с нами","Возможность настройки алгоритмов геймификации, прозрачность начисления баллов","""Система живет сама по себе, я не понимаю логику начисления баллов"" 57:13","Необходимость переработки геймификации, добавления понятных правил и контроля","Текущая геймификация непрозрачна, непонятна логика начисления, клиенты и я не можем ее контролировать",,"Дмитрий — сеть, JTBD-вариант",Улучшить систему геймификации для мотивации клиентов,Кли-02,приложение_соц
Клиенты и удержание,Small,Управлять и контролировать администраторов на ресепшене,1,S1,J1,1,"Обеспечить точный учет посещаемости, избежать проблем с администрированием","В детской студии часто дети приходят с опозданием, нужно иметь возможность добавить их в занятие после его начала","Удобный интерфейс для изменения статусов посещения, возможность редактировать записи",Возможные сложности с интерфейсом и обучением администраторов,"Возможность менять статус посещения, добавлять клиентов задним числом","В 1С Фитнес было неудобно вносить клиентов после начала занятия, система ""схлопывалась""","""Можно после начала занятия занести человека? В 1С фитнес это было очень неудобно.""",Оксана — две детских студии (AppEvent),"Вносить клиентов в занятия задним числом, если они опоздали или пришли позже",Кли-05,адмы
Клиенты и удержание,Small,Управлять подписками и рекуррентными списаниями,1,S5,J3,1,Чтобы обеспечить стабильный денежный поток,Когда продаю подписки с автоматическим списанием,CRM Fitbase + мобильное приложение для подписок,Иногда непонимание клиентов сути подписки,Готовая инфраструктура для подписной модели,—,"«Подписок в районе 270, и все остальное — это разовые посещения.» (3:12)","Алексей Кочкин — зал без персонала (Екатеринбург, открытие)",Управлять подписочной моделью с автопродлением,Кли-09,подписки_рекурренты
Клиенты и удержание,Big,Контролировать выручку и продажи в реальном времени,1,,,1,Чтобы клиенты возвращались и тратили больше,"Когда растёт база клиентов, но падает возвратность","Автоматические рассылки, напоминания, бонусы","Лимиты по рассылкам, страх спама","Автоматизация, retention-маркетинг","Ручные обзвоны, низкий повтор",,АГРЕГИРОВАНО (без привязки к конкретному интервью),Увеличивать прибыль и удерживать клиентов за счет автоматизации процессов,Кли-10,выручка_контроль
Клиенты и удержание,Middle,"Управлять акциями, скидками и промокодами",1,,,1,Чтобы стимулировать клиентов к покупкам,Когда нужны маркетинговые инструменты для удержания,Бонусная система,Мало опыта использования,"Маркетинг, продажи",Нет автоматизации,,АГРЕГИРОВАНО (без привязки к конкретному интервью),"Управлять бонусами, промокодами и сертификатами",Кли-11,акции_скидки
Клиенты и удержание,Small,IP-телефония для работы с клиентами,1,S1,J5,1,,,,,,,,Детская студия — дзюдо/тхэквондо (1С),"FitBase Click (планшет + QR на входе) — заинтересовал когда узнал, что карточки тоже принимаются (без телефона)",Кли-12,ip_телефония
Клиенты и удержание,Small,Вести учет продаж и посещений в карточке клиента,1,S1,J3,1,Иметь полную историю клиента для анализа и работы с ним.,Клиент покупает абонемент или посещает занятие.,Карточка клиента в CRM.,,Централизация данных.,Нет централизованного учета.,—,Ярослава — открытие студии пилатеса,Вести учет продаж и посещений в карточке клиента,Кли-14,
Клиенты и удержание,Small,Переносить базу клиентов из предыдущей CRM в новую систему,1,S1,J1,1,Быстрый старт работы с новой CRM без потери данных,"Есть существующая база клиентов, не хочется вводить вручную","Помощь в переносе, тестовый перенос, доработка по обратной связи","Неуверенность в качестве переноса, необходимость участия внедренцев","Помощь внедренцев, тестовые переносы, поддержка","В 1С Фитнес и других системах перенос был сложным, не всегда корректным","""Перенос мы помогаем делать... Есть тестовый перенос, смотрите, насколько корректно все перенеслось.""",Оксана — две детских студии (AppEvent),Переносить базу клиентов из предыдущей CRM в новую систему,Кли-15,
Клиенты и удержание,Small,Переносить данные из Excel в CRM без потерь и с минимальными усилиями,1,S1,J1,1,,"Когда начинаю работать с CRM, хочу быстро и без ошибок перенести базу клиентов из Excel","Бесплатный перенос базы при годовом тарифе, консультации специалистов",Возможна очередь на перенос из-за сезона,"Помощь специалистов, тестовый перенос, консультации","Ручной ввод данных занимает много времени, возможны ошибки","""У нас смотрен при подключении от 12 месяцев бесплатный перенос вашей базы с Excel."" ""К этому нужно быть готовым, потому что, ну, система это тоже там все...""",Lime Fitness — хореография,Переносить данные из Excel в CRM без потерь и с минимальными усилиями,Кли-16,
Клиенты и удержание,Small,"Хранить документы клиентов (справки, заявления)",1,S1,J1,1,Чтобы не плодить бумажные документы и иметь быстрый доступ,Когда клиент приносит документы,Возможность прикреплять документы к карточке клиента,"""Мы можем хранить заявление, справку от врача, свидетельство о рождении.""",Загрузка фото документов в карточку клиента,"Бумажные документы, потеря информации",,Танцевальная студия — Mobi-конкурент,"Хранить документы клиентов (справки, заявления)",Кли-17,
Клиенты и удержание,Small,Отслеживать отсутствие справок у клиентов,1,S1,J1,1,Чтобы быстро напомнить и получить недостающие документы,"Когда нужно проверить, кто принес справку, а кто нет",Использование хэштегов и фильтров,"""Можно хэштег настроить 'нет справки' и отфильтроваться.""",Настройка тегов и фильтров,"Нет автоматизации, ручной поиск",,Танцевальная студия — Mobi-конкурент,Отслеживать отсутствие справок у клиентов,Кли-18,
Клиенты и удержание,Middle,Создать комфортное физическое пространство с превосходным качеством отделки и оборудования,1,S5,J3,1,Чтобы сохранить клиентов в сегменте лоу-кост/средний при качестве премиум-клуба,"Когда строил клуб, понимал что в Екатеринбурге насыщенный рынок и клиенты выбирают качество — некомфортно = посмотрят в сторону конкурентов",Хастинг (партнёр) даёт 3D-визуализацию для расстановки тренажёров; Fitbase для управления,,"Хастингс упаковал оборудование под формат, GPT помогал в строительных расчётах",Сложно правильно рассчитать всё с нуля — пришлось менять подрядчика,"«Я в фитнесе давно, клиенты выбирают качество. Если сделаем некомфортное пространство, посмотрят в сторону конкурентов.» (8:49) | «Получилось 10.5 под ключ.» (16:00)","Алексей Кочкин — зал без персонала (Екатеринбург, открытие)",Создать комфортное физическое пространство с превосходным качеством отделки и оборудования,Кли-19,
Клиенты и удержание,Small,Обработка возвратов,1,S5,J1,1,Клиенты были довольны и не уходили недовольными,Когда клиенты хотят вернуть деньги за абонемент,Улучшение информирования клиентов о подписках,Недостаток информации для клиентов,Прозрачность условий,Некоторые клиенты не понимают условия подписки,Я делаю возврат и все.,Speaker A — зал без персонала,Обработка возвратов,Кли-20,
Клиенты и удержание,Small,Поддержка клиентов,1,S5,J1,1,Устранить задержки и недовольство,Когда клиенты сталкиваются с проблемами доступа,Автоматизация поддержки через чат-бота,Ограниченное время для реакции,Наличие связи через Telegram,Клиенты иногда не могут войти в зал,"Я всегда на связи, Телеграм, Макс.",Speaker A — зал без персонала,Поддержка клиентов,Кли-21,
Клиенты и удержание,Middle,Настраивать правила отмены занятий,1,,,1,Чтобы не терять деньги и снижать конфликты,Когда клиенты отменяют в последний момент,Настройка политики отмен,Сложность настройки,Баланс интересов,Нет автоматизации,,АГРЕГИРОВАНО (без привязки к конкретному интервью),Настраивать правила отмены занятий,Кли-22,
Клиенты и удержание,Small,Проверять оплату и возвраты,1,,,1,Чтобы финансы были прозрачны,Когда клиент оплатил/вернул,"Учёт оплат, интеграция кассы",Интеграции с кассой,Автоматизация,"Excel, кассовые ошибки",,АГРЕГИРОВАНО (без привязки к конкретному интервью),Проверять оплату и возвраты,Кли-23,
Клиенты и удержание,Small,Фильтровать клиентов для рассылок,1,,,1,Чтобы персонализировать коммуникации,Когда нужна сегментация,Фильтры в CRM,Нет,Точность маркетинга,"Excel, ручной поиск",,АГРЕГИРОВАНО (без привязки к конкретному интервью),Фильтровать клиентов для рассылок,Кли-24,
Клиенты и удержание,Small,Связать аккаунты родителя и ребенка (общий счет),1,S1,J2,1,,,,,,,,"Каталина Алексеева — пилатес/реабилитация, Гатчина",Связать аккаунты родителя и ребенка (общий счет),Кли-25,
Клиенты и удержание,Middle,Понять реальный риск переноса базы,1,S1,J1,1,,большая клиентская база из 1С под франшизой,,,"Fitbase переносит сам из 1С за 2-3 недели, бесплатно, выборочная проверка по клиентам",,,Анастасия (Пермь) — выход из франшизы (1С+Mobi),Понять реальный риск переноса базы,Кли-26,
Клиенты и удержание,Middle,Связь ребёнок↔родители без потери единого диалога,1,S1,J5,1,,"30% клиентов с 2 номерами родителей; родители разные, оплачивает один, ходит другой",,,,,,Детская студия — дзюдо/тхэквондо (1С),Связь ребёнок↔родители без потери единого диалога,Кли-27,
Клиенты и удержание,Middle,"Тарификация по действующим клиентам, а не по всей базе",1,S2,J2,1,,"у Марины **тысячи клиентов в базе** за все годы работы. «Если за весь период, там, я не знаю, даже там тысячи, две, наверное, три уже надо»",,,,,,Марина — самописная 1С,"Тарификация по действующим клиентам, а не по всей базе",Кли-28,
Клиенты и удержание,Small,Корпоративные карты для семей — есть,1,S2,J2,1,,,,,,,,Марина — самописная 1С,Корпоративные карты для семей — есть,Кли-29,
Расписание и запись,Middle,Отмечать посещения клиентов (QR/чекин/ручная),2,S1,J3,2,"Упростить работу, избежать потерь клиентов, повысить оперативность.","В студии нет администратора, тренеры должны вести часть работы с клиентами.",Мобильное приложение для тренеров.,Нужно оборудование,"Самостоятельность тренеров, снижение нагрузки.","Нет системы, все делается вручную.",—,АГРЕГИРОВАНО (без привязки к конкретному интервью); Ярослава — открытие студии пилатеса,Контролировать посещаемость и списания | Обеспечить возможность тренерам самостоятельно отмечать посещения и записывать клиентов,Рас-01,посещения_отметки
Расписание и запись,Big,Управлять и контролировать администраторов на ресепшене,2,S2,J2,1,"Чтобы упростить работу администраторов, тренеров и управляющих, повысить дисциплину клиентов, улучшить аналитику и коммуникацию с клиентами","Когда управляющий фитнес-клубом с ~150 активными клиентами, где есть групповые, персональные и свободные посещения, и текущая система учёта устарела и не покрывает нужды","Упрощение работы, автоматизация процессов, удобство для клиентов и тренеров, интеграция с мессенджерами, отчётность","Необходимость согласования с собственником, лояльность к текущему ручному процессу, часть клиентов (пенсионеры) не дружат с технологиями","Облачная система, мобильные приложения под бренд, интеграция с мессенджерами, автоматизация записи и оплаты, отчёты, push-уведомления","1С устарела, ""простецкая"", ""миллион раз в лет ее никто не обновлял"", нет автоматизации записи и коммуникаций, ручной ввод данных, отсутствие мобильного приложения","""У нас есть в ручном режиме показывают все это дело в тетрадочку... либо звонят, если не знают, как записываются"" (Василий) || ""У нас только один S-фитнес есть... простые базовые функции... уже миллион раз в лет ее никто не обновлял"" (Василий)",Клуб — общий switch-кейс,Автоматизировать управление фитнес-клубом | Обеспечить удобную запись клиентов на занятия,Рас-02,адмы
Расписание и запись,Middle,Управлять персональными тренировками и записью,1,S1,J1,1,,"Когда тренеры и клиенты хотят записываться на персоналки, нужно организовать удобный и прозрачный процесс записи","Возможность тренера самостоятельно вести записи и график, клиенты могут сами выбирать время",Нет,"Открытая запись для клиентов, возможность скрыть или показать запись на персоналки","Ранее не было прозрачности, ""чтобы не было такого, что он меня не записывает, а того он записывает""","""Ну, мне бы наоборот хотелось, чтобы это было в открытую, знаете, чтобы не было такого, что он меня не записывает, а того он записывает.""",Lime Fitness — хореография,Управлять расписанием и записями на персональные занятия через приложение,Рас-03,персональные_занят
Расписание и запись,Middle,Считать зарплату тренеров без Excel и ошибок,1,S1,J1,1,Чтобы контролировать посещаемость и начислять зарплату тренерам,"Когда у меня есть группы с фиксированным расписанием на год, и нужно отмечать посещения","Возможность создавать расписание на год, отмечать посещения, списывать занятия","Необходимость обучения, настройка системы под особенности ансамбля","Повторяющаяся запись, интеграция с оплатами и зарплатой тренеров","Ручной учет посещений, отсутствие автоматизации","""У нас не личные уроки, а ансамбль... они все 20 человек так и будут ходить весь год целым классом.""",Танцевальная студия — Mobi-конкурент,Управлять расписанием групп и посещениями,Рас-04,зарплата_тренеров
Расписание и запись,Small,Гибко составлять расписание занятий,1,,,1,Чтобы не тратить время еженедельно,Когда нужно планировать на месяцы,Копирование расписаний,Нет,Удобство,Google-календарь — ручное,,АГРЕГИРОВАНО (без привязки к конкретному интервью),Копировать расписание на долгий срок,Рас-05,расписание_создание
Расписание и запись,Middle,Контролировать выручку и продажи в реальном времени,1,S6,J4,1,"клиенты и тренеры записывались быстро и без ошибок, я видел загрузку и выручку","клиенты хотят бронировать корты и тренировки, тренеры должны видеть расписание и клиентов","виджеты для сайта и соцсетей, мобильное приложение с гибкой настройкой интерфейса",нужно обучить тренеров и админов,,,"Когда я как клиент открываю в приложении тренера и записаться на персональную тренировку — я вижу именно те слоты, которые этот тренер сам проставил в своём расписании",Денис — падл-клуб (старт),Организовать и вести учёт бронирования кортов и тренировок,Рас-06,выручка_контроль
Расписание и запись,Small,Делать массовые рассылки и автоматические уведомления клиентам,1,S1,J5,1,,,,,,,,Детская студия — дзюдо/тхэквондо (1С),Лист ожидания с массовой рассылкой о свободных местах — заинтересовал,Рас-07,рассылки_коммуникац
Расписание и запись,Small,Контролировать качество тренировок через просмотр записей и обратную связь,1,S4,J4,1,Чтобы поддерживать высокий уровень тренерской работы,Когда тренеры проводят занятия,"Качество тренировок, безопасность клиентов",,,"Большой объём работы, необходимость систематизации",,"Стас — Stretch House (франшиза, 65 студий)",Контролировать качество тренировок через просмотр записей и обратную связь,Рас-08,
Расписание и запись,Small,Вести расписание с учетом вместимости и листа ожидания,1,S1,J3,1,"Не допускать переполнения, не терять клиентов, автоматизировать процесс.","Есть ограниченное количество реформеров, нужно контролировать количество записанных.",Расписание с ограничением и листом ожидания.,,Автоматизация записи.,Нет автоматического контроля загрузки.,"«Мне нравится вариант, что сайта прям сразу можно посмотреть и оплатить, и не скачивая приложение»",Ярослава — открытие студии пилатеса,Вести расписание с учетом вместимости и листа ожидания,Рас-09,
Расписание и запись,Small,"Управлять расписанием занятий и залами, включая повторяющиеся занятия",1,S1,J1,1,Обеспечить удобное планирование и управление расписанием,"В студии 2-3 зала, занятия повторяются по расписанию, нужно гибко управлять расписанием","Удобный график, возможность повторения занятий, распределение по залам",Возможные сложности с интерфейсом и обучением,"Гибкий график, повторение занятий, распределение по залам","В 1С Фитнес было сложно управлять расписанием, особенно с изменениями","""Можно повторять тренировку, выбирать дни, менять залы.""",Оксана — две детских студии (AppEvent),"Управлять расписанием занятий и залами, включая повторяющиеся занятия",Рас-10,
Расписание и запись,Middle,Управление клиентским потоком,1,S5,J1,1,Избежать перегрузки и обеспечить комфорт,"В часы пик, когда много клиентов",Введение обязательного бронирования в часы пик,Некоторые клиенты не бронируют время,Рекомендации по бронированию,Бывают дни с большим количеством клиентов,Я прошу клиентов бронировать время для посещения зала.,Speaker A — зал без персонала,Управление клиентским потоком,Рас-11,
Расписание и запись,Small,Управлять пиковыми нагрузками и бронированием времени посещения,1,S5,J1,1,Чтобы обеспечить комфорт и безопасность посещения,Когда в часы пик много клиентов и нужно избежать перегрузки зала,"Возможность бронирования слотов, ограничение количества посетителей","Текущая интеграция не работает, данные некорректны",Возможность настройки обязательного бронирования на часы пик,Отсутствие интеграции между CRM и системой контроля мешает точному учету,"«У меня есть рекомендательное правило, 7 слотов, чтобы не больше 7 человек занималось.» (15:14)","Speaker A — зал без персонала (расширенный, 8 джобов)",Управлять пиковыми нагрузками и бронированием времени посещения,Рас-12,
Расписание и запись,Middle,Управлять расписанием занятий (групповые и индивидуальные),1,,,1,Чтобы загрузка тренеров была оптимальной и клиенты довольны,"Когда тренеры ведут параллельно группы, а клиенты часто путаются",Расписание с копированием и листом ожидания,Инд. записи сложнее автоматизировать,"Удобство, автоматизация","Google-календари, ручные записи",,АГРЕГИРОВАНО (без привязки к конкретному интервью),Управлять расписанием занятий (групповые и индивидуальные),Рас-13,
Расписание и запись,Big,Управлять бизнесом падл-клуба с эффективной системой бронирования и учёта,1,S6,J4,1,"бизнес работал без хаоса, с прозрачной статистикой, удобством для клиентов и тренеров, и я мог принимать управленческие решения","запуск падл-клуба, опыт работы в теннисе, хочет развивать детские/групповые тренировки, турниры, персоналки","мощная CRM + учётная система с интеграциями, мобильными приложениями, автоматизацией и аналитикой","возможные сложности с интеграцией с Мегафоном, необходимость обучения персонала",,,"Я теннисист. Я 10 лет проработал директором спортивной школы теннисной, поэтому я в теннисе",Денис — падл-клуб (старт),Управлять бизнесом падл-клуба с эффективной системой бронирования и учёта,Рас-14,
Расписание и запись,Small,"Онлайн-трансляции занятий через Zoom — заинтересовал, спросил",1,S1,J5,1,,,,,,,,Детская студия — дзюдо/тхэквондо (1С),"Онлайн-трансляции занятий через Zoom — заинтересовал, спросил",Рас-15,
Расписание и запись,Small,Записи в массажной комнате — оформить как групповое занятие на 1 человека,1,S5,J1,1,,,,,,,,Анастасия (Завьялово) — микро-студия без админов,Записи в массажной комнате — оформить как групповое занятие на 1 человека,Рас-16,
Коммуникации и маркетинг,Middle,SMM и контент-маркетинг,3,S1,J1,3,Чтобы не разрываться между разными мессенджерами и соцсетями,"Когда общаюсь с клиентами через разные каналы (WhatsApp, ВКонтакте, Instagram), хочу не терять заявки и вести переписку удобно","Интеграция с WhatsApp, ВКонтакте, Instagram через партнера ""Интеллект Диалог"", возможность вести переписку без VPN","Ограничения Instagram по таргетингу, нестабильность интеграции","Возможность вести переписку из одного окна, автоматизация обработки заявок","Ранее заявки из Instagram приходят без номеров, таргетинг нестабилен, приходится вручную выяснять контакты","""Инстаграм подключается туда, нет?"" ""Да, Инстаграм подключается с помощью нашего партнера Интеллект Диалог."" || ""То есть неважно, откуда клиент пишет и звонит, он к нам приходит сюда.""",Lime Fitness — хореография; АГРЕГИРОВАНО (без привязки к конкретному интервью); Танцевальная студия — Mobi-конкурент,"Вести коммуникацию с клиентами из одного окна, включая мессенджеры и соцсети | Вести коммуникацию с клиентами из разных каналов в одном окне | Интегрировать каналы коммуникации (звонки, WhatsApp, соцсети)",Ком-04,smm_контент
