job_size,business_segment,job_segment,want_short,context_when,want_result,so_that,importance,satisfaction,gap,fitbase_value,previous_solution_problems,drivers,barriers,lpr_quote,interview_label,business_profile,lpr_profile,notes,duplicate_group,is_canonical,id
Middle,S2,J2,Автоматизировать продажи абонементов и продлений,"Когда продажи абонементов проходят через администраторов вручную, нет автоматических напоминаний о продлении","Хочу, чтобы продажи и продления абонементов проходили через систему с автоматическими уведомлениями клиентам","Чтобы увеличить продажи, снизить количество пропущенных продлений и упростить работу администраторов",Важно для стабильного дохода клуба и удержания клиентов,,,"Автоматические рассылки, интеграция с платежными системами, мобильное приложение для покупки абонементов","Ручные продажи, отсутствие автоматических напоминаний, нет интеграции с платежами","Автоматические рассылки (WhatsApp, Telegram, push-уведомления), интеграция с платежными системами","Необходимость обучения персонала, возможные технические сложности","""Администратор видит... и также видит систему, которая будет при входе с QR-кодом"" (Мария)",Клуб — общий switch-кейс,,,,D021,1,J066
Small,S2,J2,Обеспечить коммуникацию с клиентами через мессенджеры,"Когда администратор общается с клиентами в Telegram вручную, нет единого окна для переписки","Хочу иметь единое окно для всех каналов коммуникации (WhatsApp, Telegram, ВКонтакте) с хранением всей переписки","Чтобы не терять историю общения, быстро реагировать на запросы и передавать информацию новым сотрудникам",Важно для качества обслуживания и сохранения клиентской базы,,,"Интеграция всех каналов в одном окне, хранение переписок, возможность передачи прав тренерам","Отсутствие единой системы, переписки разбросаны по разным мессенджерам","Интеграция мессенджеров, хранение переписок в CRM",Возможные сложности с внедрением и обучением,"""Все переписки, они все хранятся в системе... если администратор уволился, то мы потом всю информацию по их перепискам можем собрать быстро"" (Мария)",Клуб — общий switch-кейс,,,,D022,1,J067
Small,S2,J2,Вести отчётность по посещаемости и продажам,"Когда отчёты ведутся управляющим вручную, без автоматизации","Хочу иметь автоматические отчёты по посещаемости, продажам, продлениям и маркетинговым активностям",Чтобы быстро получать аналитику и принимать управленческие решения,Важно для контроля и планирования развития клуба,,,"Более 40 видов отчётов, автоматизация, аналитика","Ручное ведение отчётов, ограниченный доступ к данным","Автоматизация отчётов, доступ к аналитике в системе","Неинтересно для тренера, больше для управляющего","""Управляющие занимаются... финансовые моменты он там смотрит... я думаю, это вам в вашей роли неинтересно"" (Мария)",Клуб — общий switch-кейс,,,,D023,1,J068
Small,S2,J2,Упростить работу тренеров с расписанием и задачами,"Когда тренеры работают в хаотичном режиме, без чёткого расписания и задачника","Хочу, чтобы тренеры могли видеть расписание, ставить задачи и фиксировать посещаемость через мобильное приложение",Чтобы тренеры могли лучше планировать работу и контролировать клиентов,Важно для повышения эффективности работы тренеров и качества услуг,,,Мобильное приложение для тренеров с расписанием и задачником,"Отсутствие чёткого расписания, хаотичность, ручной учёт","Мобильное приложение с расписанием, задачником, возможностью записи клиентов",Не все тренеры готовы к цифровизации,"""Тренер может поставить себе задачи, видеть расписание, фиксировать посещаемость"" (Мария)",Клуб — общий switch-кейс,,,,D024,1,J069
Big,S1,J1,Автоматизировать и упростить управление зарплатами тренеров и администраторов,"Когда веду учет зарплат тренеров и администраторов, сталкиваюсь с разными схемами оплаты и сложностями в расчетах","Хочу иметь гибкую систему начисления зарплат с возможностью фиксированных сумм, процентов, оплаты за посещение, часовую оплату для администраторов",,"Очень важно, т.к. зарплата — ""пищащий момент"", вызывает много вопросов и требует точности",,,"Возможность настроить разные схемы оплаты, включая фикс, процент, оплату за каждого пришедшего клиента, а также планы на расширение функционала","Ранее ограниченные возможности начисления, отсутствие часовой оплаты для администраторов, невозможность платить тренерам процент от продаж","Гибкость настроек, планы расширения функционала, возможность оплаты за каждого пришедшего клиента, учет часов для администраторов в будущем","Пока нет часовой оплаты для администраторов, нет процента от продаж для тренеров","""Вы можете в двух словах сказать, что можно еще хотеть? Я просто не понимаю, что еще можно хотеть."" ""Вы, может, где-то себе запишите, что может быть и администраторов туда подключить. Это было бы очень удобно.""",Lime Fitness — хореография,"Тип бизнеса: Студия, предоставляющая групповые и персональные занятия (в том числе хореография), фитнес-услуги | Особенности бизнеса: - Есть услуги (пакеты услуг) и абонементы (обычно групповые занятия) с ограничением по времени и количеству занятий<br>- Ведется работа с детьми (минимум 3 занятия в неделю)<br>- Активных клиентов около 200, с сезонным ростом после лета<br>- Важна автоматизация зарплат тренеров и администраторов<br>- Используется мобильное приложение для клиентов и тренеров<br>- Ведется коммуникация с родителями через мессенджеры и соцсети (WhatsApp, ВКонтакте, Instagram)<br>- Важна интеграция с CRM и автоматизация процессов<br>- Есть потребность в удобном управлении персональными занятиями и расписанием тренеров","Speaker B — женщина, которая ведет переговоры, задает вопросы, принимает решения по выбору CRM и приложения. Судя по контексту, она руководитель или менеджер по развитию/операциям в студии.",,,1,J140
Middle,S1,J1,Управлять расписанием и записями на персональные занятия через приложение,"Когда тренеры и клиенты хотят записываться на персоналки, нужно организовать удобный и прозрачный процесс записи","Хочу, чтобы тренер мог выставлять рабочее время, а клиенты самостоятельно записывались на удобное время",,Важно для повышения продаж и удобства клиентов,,,"Возможность тренера самостоятельно вести записи и график, клиенты могут сами выбирать время","Ранее не было прозрачности, ""чтобы не было такого, что он меня не записывает, а того он записывает""","Открытая запись для клиентов, возможность скрыть или показать запись на персоналки",Нет,"""Ну, мне бы наоборот хотелось, чтобы это было в открытую, знаете, чтобы не было такого, что он меня не записывает, а того он записывает.""",Lime Fitness — хореография,"Тип бизнеса: Студия, предоставляющая групповые и персональные занятия (в том числе хореография), фитнес-услуги | Особенности бизнеса: - Есть услуги (пакеты услуг) и абонементы (обычно групповые занятия) с ограничением по времени и количеству занятий<br>- Ведется работа с детьми (минимум 3 занятия в неделю)<br>- Активных клиентов около 200, с сезонным ростом после лета<br>- Важна автоматизация зарплат тренеров и администраторов<br>- Используется мобильное приложение для клиентов и тренеров<br>- Ведется коммуникация с родителями через мессенджеры и соцсети (WhatsApp, ВКонтакте, Instagram)<br>- Важна интеграция с CRM и автоматизация процессов<br>- Есть потребность в удобном управлении персональными занятиями и расписанием тренеров","Speaker B — женщина, которая ведет переговоры, задает вопросы, принимает решения по выбору CRM и приложения. Судя по контексту, она руководитель или менеджер по развитию/операциям в студии.",,,1,J141
Middle,S1,J1,"Вести коммуникацию с клиентами из одного окна, включая мессенджеры и соцсети","Когда общаюсь с клиентами через разные каналы (WhatsApp, ВКонтакте, Instagram), хочу не терять заявки и вести переписку удобно","Хочу интеграцию с мессенджерами, чтобы вести переписку из CRM без переключения между приложениями",,Очень важно для удержания клиентов и повышения конверсии,,,"Интеграция с WhatsApp, ВКонтакте, Instagram через партнера ""Интеллект Диалог"", возможность вести переписку без VPN","Ранее заявки из Instagram приходят без номеров, таргетинг нестабилен, приходится вручную выяснять контакты","Возможность вести переписку из одного окна, автоматизация обработки заявок","Ограничения Instagram по таргетингу, нестабильность интеграции","""Инстаграм подключается туда, нет?"" ""Да, Инстаграм подключается с помощью нашего партнера Интеллект Диалог.""",Lime Fitness — хореография,"Тип бизнеса: Студия, предоставляющая групповые и персональные занятия (в том числе хореография), фитнес-услуги | Особенности бизнеса: - Есть услуги (пакеты услуг) и абонементы (обычно групповые занятия) с ограничением по времени и количеству занятий<br>- Ведется работа с детьми (минимум 3 занятия в неделю)<br>- Активных клиентов около 200, с сезонным ростом после лета<br>- Важна автоматизация зарплат тренеров и администраторов<br>- Используется мобильное приложение для клиентов и тренеров<br>- Ведется коммуникация с родителями через мессенджеры и соцсети (WhatsApp, ВКонтакте, Instagram)<br>- Важна интеграция с CRM и автоматизация процессов<br>- Есть потребность в удобном управлении персональными занятиями и расписанием тренеров","Speaker B — женщина, которая ведет переговоры, задает вопросы, принимает решения по выбору CRM и приложения. Судя по контексту, она руководитель или менеджер по развитию/операциям в студии.",,,1,J142
Middle,S1,J1,Анализировать эффективность продаж и работы с клиентами через воронку продаж,"Когда веду продажи и обработку заявок, хочу видеть, сколько заявок на каком этапе, причины отказов и конверсию",Хочу автоматизированную воронку продаж с аналитикой по этапам и источникам лидов,,Важно для понимания эффективности маркетинга и работы администраторов,,,"Автоматизированная воронка с возможностью строить несколько сценариев, отслеживать тайминг обработки заявок","У конкурентов (Моби Фитнес) воронка менее автоматизирована, нет интеграции с AMSRM","Автоматизация, аналитика, интеграция с разными источниками заявок",Нет,"""У них нет, наверное, воронки продаж, это, наверное, основное. Она у них есть, но она не очень автоматизированная.""",Lime Fitness — хореография,"Тип бизнеса: Студия, предоставляющая групповые и персональные занятия (в том числе хореография), фитнес-услуги | Особенности бизнеса: - Есть услуги (пакеты услуг) и абонементы (обычно групповые занятия) с ограничением по времени и количеству занятий<br>- Ведется работа с детьми (минимум 3 занятия в неделю)<br>- Активных клиентов около 200, с сезонным ростом после лета<br>- Важна автоматизация зарплат тренеров и администраторов<br>- Используется мобильное приложение для клиентов и тренеров<br>- Ведется коммуникация с родителями через мессенджеры и соцсети (WhatsApp, ВКонтакте, Instagram)<br>- Важна интеграция с CRM и автоматизация процессов<br>- Есть потребность в удобном управлении персональными занятиями и расписанием тренеров","Speaker B — женщина, которая ведет переговоры, задает вопросы, принимает решения по выбору CRM и приложения. Судя по контексту, она руководитель или менеджер по развитию/операциям в студии.",,,1,J143
Small,S1,J1,Получать и обрабатывать отзывы клиентов через приложение,"Когда клиенты посещают занятия, хочу собирать отзывы для повышения доверия и привлечения новых клиентов","Хочу, чтобы клиенты могли оставлять отзывы в приложении, а я мог их видеть и использовать",,Важно для маркетинга и удержания клиентов,,,Встроенная функция отзывов в приложении,Ранее не было удобного способа сбора отзывов,"Наличие отзывов в приложении, возможность стимулировать клиентов",Нет,"""Вот, кстати, по приложению там обратили внимание, очень классная штука, отзывы есть.""",Lime Fitness — хореография,"Тип бизнеса: Студия, предоставляющая групповые и персональные занятия (в том числе хореография), фитнес-услуги | Особенности бизнеса: - Есть услуги (пакеты услуг) и абонементы (обычно групповые занятия) с ограничением по времени и количеству занятий<br>- Ведется работа с детьми (минимум 3 занятия в неделю)<br>- Активных клиентов около 200, с сезонным ростом после лета<br>- Важна автоматизация зарплат тренеров и администраторов<br>- Используется мобильное приложение для клиентов и тренеров<br>- Ведется коммуникация с родителями через мессенджеры и соцсети (WhatsApp, ВКонтакте, Instagram)<br>- Важна интеграция с CRM и автоматизация процессов<br>- Есть потребность в удобном управлении персональными занятиями и расписанием тренеров","Speaker B — женщина, которая ведет переговоры, задает вопросы, принимает решения по выбору CRM и приложения. Судя по контексту, она руководитель или менеджер по развитию/операциям в студии.",,,1,J144
Small,S1,J1,"Привлекать новых клиентов через программу ""Приведи друга""","Когда клиенты довольны услугами, хочу, чтобы они приглашали друзей и получали бонусы",Хочу автоматическую систему бонусов за приглашение новых клиентов,,Важно для роста бизнеса и расширения клиентской базы,,,"Функция ""Приведи друга"" с автоматическим начислением бонусов",Ранее не было автоматизации приглашений и бонусов,Автоматизация приглашений и бонусов,Нет,"""Могут наши клиенты приглашать через приложение своих друзей... и только когда этот друг купит абонемент, тогда ему система автоматически начислит бонус.""",Lime Fitness — хореография,"Тип бизнеса: Студия, предоставляющая групповые и персональные занятия (в том числе хореография), фитнес-услуги | Особенности бизнеса: - Есть услуги (пакеты услуг) и абонементы (обычно групповые занятия) с ограничением по времени и количеству занятий<br>- Ведется работа с детьми (минимум 3 занятия в неделю)<br>- Активных клиентов около 200, с сезонным ростом после лета<br>- Важна автоматизация зарплат тренеров и администраторов<br>- Используется мобильное приложение для клиентов и тренеров<br>- Ведется коммуникация с родителями через мессенджеры и соцсети (WhatsApp, ВКонтакте, Instagram)<br>- Важна интеграция с CRM и автоматизация процессов<br>- Есть потребность в удобном управлении персональными занятиями и расписанием тренеров","Speaker B — женщина, которая ведет переговоры, задает вопросы, принимает решения по выбору CRM и приложения. Судя по контексту, она руководитель или менеджер по развитию/операциям в студии.",,,1,J145
Small,S1,J1,Обучать и поддерживать сотрудников при переходе на новую CRM,"Когда внедряю новую систему, хочу, чтобы сотрудники быстро освоили работу и не было сбоев","Хочу организовать обучение для руководства и администраторов, а также иметь техническую поддержку",,Важно для успешного перехода и стабильной работы,,,"Закрепленный аккаунт-менеджер, обучение по ролям, техподдержка 9-21, база знаний",Ранее переходы сопровождались сложностями и недопониманиями,"Поддержка, обучение, консультации",Нет,"""Обучение можно разделить на несколько частей... И еще у нас есть техническая поддержка в системе.""",Lime Fitness — хореография,"Тип бизнеса: Студия, предоставляющая групповые и персональные занятия (в том числе хореография), фитнес-услуги | Особенности бизнеса: - Есть услуги (пакеты услуг) и абонементы (обычно групповые занятия) с ограничением по времени и количеству занятий<br>- Ведется работа с детьми (минимум 3 занятия в неделю)<br>- Активных клиентов около 200, с сезонным ростом после лета<br>- Важна автоматизация зарплат тренеров и администраторов<br>- Используется мобильное приложение для клиентов и тренеров<br>- Ведется коммуникация с родителями через мессенджеры и соцсети (WhatsApp, ВКонтакте, Instagram)<br>- Важна интеграция с CRM и автоматизация процессов<br>- Есть потребность в удобном управлении персональными занятиями и расписанием тренеров","Speaker B — женщина, которая ведет переговоры, задает вопросы, принимает решения по выбору CRM и приложения. Судя по контексту, она руководитель или менеджер по развитию/операциям в студии.",,,1,J146
Small,S1,J1,Переносить данные из Excel в CRM без потерь и с минимальными усилиями,"Когда начинаю работать с CRM, хочу быстро и без ошибок перенести базу клиентов из Excel","Хочу, чтобы специалисты помогли адаптировать таблицы и сделали тестовый перенос",,Важно для быстрого старта и корректной работы системы,,,"Бесплатный перенос базы при годовом тарифе, консультации специалистов","Ручной ввод данных занимает много времени, возможны ошибки","Помощь специалистов, тестовый перенос, консультации",Возможна очередь на перенос из-за сезона,"""У нас смотрен при подключении от 12 месяцев бесплатный перенос вашей базы с Excel."" ""К этому нужно быть готовым, потому что, ну, система это тоже там все...""",Lime Fitness — хореография,"Тип бизнеса: Студия, предоставляющая групповые и персональные занятия (в том числе хореография), фитнес-услуги | Особенности бизнеса: - Есть услуги (пакеты услуг) и абонементы (обычно групповые занятия) с ограничением по времени и количеству занятий<br>- Ведется работа с детьми (минимум 3 занятия в неделю)<br>- Активных клиентов около 200, с сезонным ростом после лета<br>- Важна автоматизация зарплат тренеров и администраторов<br>- Используется мобильное приложение для клиентов и тренеров<br>- Ведется коммуникация с родителями через мессенджеры и соцсети (WhatsApp, ВКонтакте, Instagram)<br>- Важна интеграция с CRM и автоматизация процессов<br>- Есть потребность в удобном управлении персональными занятиями и расписанием тренеров","Speaker B — женщина, которая ведет переговоры, задает вопросы, принимает решения по выбору CRM и приложения. Судя по контексту, она руководитель или менеджер по развитию/операциям в студии.",,,1,J147
Small,S1,J1,Управлять задачами и контролировать работу администраторов,"Когда работаю с администраторами, хочу ставить задачи и отслеживать их выполнение","Хочу видеть статусы задач, процент выполнения и иметь возможность контролировать процесс",,Важно для организации работы и контроля качества,,,Встроенный задачник с возможностью ставить задачи и отслеживать статусы,Ранее не было удобного инструмента контроля задач,"Задачник, статусы выполнения",Нет,"""Администратор, в свою очередь, сможет в задачнике все эти задачи отслеживать... С помощью статусов отследить выполнение этих задач.""",Lime Fitness — хореография,"Тип бизнеса: Студия, предоставляющая групповые и персональные занятия (в том числе хореография), фитнес-услуги | Особенности бизнеса: - Есть услуги (пакеты услуг) и абонементы (обычно групповые занятия) с ограничением по времени и количеству занятий<br>- Ведется работа с детьми (минимум 3 занятия в неделю)<br>- Активных клиентов около 200, с сезонным ростом после лета<br>- Важна автоматизация зарплат тренеров и администраторов<br>- Используется мобильное приложение для клиентов и тренеров<br>- Ведется коммуникация с родителями через мессенджеры и соцсети (WhatsApp, ВКонтакте, Instagram)<br>- Важна интеграция с CRM и автоматизация процессов<br>- Есть потребность в удобном управлении персональными занятиями и расписанием тренеров","Speaker B — женщина, которая ведет переговоры, задает вопросы, принимает решения по выбору CRM и приложения. Судя по контексту, она руководитель или менеджер по развитию/операциям в студии.",,,1,J148
Small,S1,J1,Получать уведомления и напоминания о важных событиях и клиентах,"Когда клиент долго не посещает занятия или наступает день рождения, хочу автоматические уведомления","Хочу, чтобы система сама отправляла пуши или задачи администратору для напоминаний",,Важно для удержания клиентов и повышения лояльности,,,"Автоматизация уведомлений по триггерам (день рождения, продажи, посещения)",Ручная работа администраторов занимает много времени,"Триггеры, автоматические уведомления",Нет,"""Система может автоматически отправить пуш в приложение клиенту, а может... отправить задачу администратору.""",Lime Fitness — хореография,"Тип бизнеса: Студия, предоставляющая групповые и персональные занятия (в том числе хореография), фитнес-услуги | Особенности бизнеса: - Есть услуги (пакеты услуг) и абонементы (обычно групповые занятия) с ограничением по времени и количеству занятий<br>- Ведется работа с детьми (минимум 3 занятия в неделю)<br>- Активных клиентов около 200, с сезонным ростом после лета<br>- Важна автоматизация зарплат тренеров и администраторов<br>- Используется мобильное приложение для клиентов и тренеров<br>- Ведется коммуникация с родителями через мессенджеры и соцсети (WhatsApp, ВКонтакте, Instagram)<br>- Важна интеграция с CRM и автоматизация процессов<br>- Есть потребность в удобном управлении персональными занятиями и расписанием тренеров","Speaker B — женщина, которая ведет переговоры, задает вопросы, принимает решения по выбору CRM и приложения. Судя по контексту, она руководитель или менеджер по развитию/операциям в студии.",,,1,J149
Big,S1,J1,Управлять всем бизнесом танцевальной школы,"Когда веду учет клиентов, оплат, расписания и коммуникаций, работаю с супругой и планируем расширять команду","Получить единую систему учета клиентов, оплат, расписания и коммуникаций","Чтобы автоматизировать процессы, снизить ручной труд, улучшить контроль и масштабировать бизнес","Очень важно, т.к. сейчас учет сложный, много ручной работы, много клиентов (101-300), есть необходимость в системном подходе",,,"Единая CRM с интеграцией мессенджеров, мобильное приложение, автоматизация оплаты и учета","Ручной учет в Excel, отсутствие интеграции, сложность отслеживания оплат и коммуникаций","Комплексное решение с CRM, мобильными приложениями, интеграцией соцсетей и мессенджеров, поддержка аккаунт-менеджера","Необходимость обучения, переход на новую систему, возможные сложности с интеграцией","""Мы работаем 8 лет, и вот пришло время усовершенствоваться.""",Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,,1,J150
Middle,S1,J1,Вести учет клиентов и оплат,"Когда клиенты платят, а деньги приходят на карту или расчетный счет, и нужно сверять платежи",Иметь прозрачный учет оплат и задолженностей,"Чтобы быстро видеть, кто оплатил, кто нет, и не тратить время на сверку вручную",Критично для своевременного контроля платежей и финансовой дисциплины,,,Облачная касса и онлайн-оплата с автоматическим учетом платежей,"Нет автоматического учета, приходится сверять вручную, сложно понять, кто и за что платил","Подключение облачной кассы, онлайн-оплата, автоматизация отчетности","Стоимость подключения кассы, необходимость перехода на бизнес-аккаунты","""У меня там Excel считает внизу, сколько всего заплатили в этом классе. Потом это сводится по всей школе. Такая получается работа сложная.""",Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,,1,J151
Middle,S1,J1,Управлять расписанием групп и посещениями,"Когда у меня есть группы с фиксированным расписанием на год, и нужно отмечать посещения","Автоматически вести расписание, отмечать посещения и списывать занятия с абонементов",Чтобы контролировать посещаемость и начислять зарплату тренерам,Важно для учета посещений и расчета зарплаты тренеров,,,"Возможность создавать расписание на год, отмечать посещения, списывать занятия","Ручной учет посещений, отсутствие автоматизации","Повторяющаяся запись, интеграция с оплатами и зарплатой тренеров","Необходимость обучения, настройка системы под особенности ансамбля","""У нас не личные уроки, а ансамбль... они все 20 человек так и будут ходить весь год целым классом.""",Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,,1,J152
Small,S1,J1,Отмечать посещения клиентов на занятиях,"Когда тренер ведет занятия и отмечает, кто пришел",Получить точный учет посещений и списание занятий с абонемента,Чтобы правильно учитывать посещаемость и начислять зарплату тренерам,Важно для корректного учета и мотивации тренеров,,,Автоматическое списание посещений и расчет зарплаты,"Ручной учет, возможные ошибки",Возможность фиксированной ставки или оплаты за клиента,Не выявлено,"""Педагог перед занятием отметил деток, кто есть, и ему начислится зарплата.""",Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,,1,J153
