job_size,business_segment,job_segment,want_short,context_when,want_result,so_that,importance,satisfaction,gap,fitbase_value,previous_solution_problems,drivers,barriers,lpr_quote,interview_label,business_profile,lpr_profile,notes,id
Middle,S3,J4,Удерживать молодую аудиторию (10% — это 14-18 летние) через социализацию и онбординг,"Когда генеральный директор сказал — пусть подростки идут к нам в зал, а не во дворе. Они до 35 = 70% базы, 14-18 = 10%. Молодые приходят, но поведение хаотичное — много оборудования, не знают что делать","Хочу сделать простую систему онбординга чтобы пришли, позанимались, получили результат, и стали возвращаться. Социальные фичи в МПК (чаты, геймификация) для общения и узнавания друг друга","Чтобы дети не получили травм и приходили регулярно (не уйти в отток), а социализация удерживала их как аудиторию",Очень важно — определяет retention молодой ЦА,,,МПК Fitbase с социальными фичами (в обсуждении с командой Fitbase),"В текущем МПК нет достаточно социальных фичей, чатов между клиентами, геймификации",Готовность Fitbase развивать функционал под их запросы,Скорость доработки фичей,"«Им важна геймификация, интерактивность, социализация. Мы часто обсуждаем чтобы Fitbase добавлял в приложение побольше плюшек особенно социальных где могут пообщаться или познакомиться.» (38:46) | «Школьники, студенты — для них тренировка это не только результат, это и поговорить, словить общий вайбик.» (36:45)","Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)","Тип бизнеса: Сеть рекуррентных фитнес-клубов Urban Fit в Санкт-Петербурге. 12 действующих клубов + 4 в открытии (включая NEO с термальным комплексом, падл, теннис, сквош). Действующий клиент Fitbase. | Особенности бизнеса: Рекуррентная (подписочная) модель, первые в СПб с рекуррентом. 70% клиентов до 35 лет, 10% — 14-18 лет. Premium-budget позиционирование: качество клубов одно из лучших на рынке, цена — одна из самых низких. Динамика роста +69% клиентов на объект. Тренажёрный зал в среднем 1000-1200 м² (общий клуб 2000 м²). Средняя площадь клуба ~2000 м². 35 тренеров на клуб (90% на аренде, 10% в штате). Группа компаний инвестора параллельно держит классическую сеть Фитнесхаус. Договор подписан на 15 лет. Готовится 3 новых формата клубов помимо NEO.","Жан — коммерческий директор (приехал из Москвы в 2023 по приглашению инвестора). Евгений — директор по маркетингу. Инвестор — Алексей Фурсов (сеть Фитнесхаус, рестораны Евразия/Чё Груп). Генеральный директор — Мурад, доверенное лицо инвестора, тренируется 6 раз в неделю в разных клубах. Фитнес-директор — Юрий Александр. Директор групповых программ — Юлия.",,J028
Middle,S3,J4,Управлять тренерским составом на модели 90% аренда / 10% штат,Когда классическая модель — тренер в штате с процентом + налоги = стоимость персоналки в 2x дороже. Мы как лоукостер не можем себе позволить,"Хочу 35 тренеров в среднем на клуб на аренде, плюс штат для групповых программ. Сохранять цену персоналки на уровне рыночной без демпинга, через ручное регулирование с супервайзерами","Чтобы зарабатывали тренеры (без депинга), зарабатывали мы (от аренды), и клиент получал доступную цену тренировки",Критическая — определяет финмодель,,,Учёт тренеров и расчёт зарплат в Fitbase,—,Гибкое управление переходами тренеров между клубами при росте,Иногда новый клуб открыт рядом с домом тренера — нужен индивидуальный подход к переводу,"«35 человек на квадратуру 1800-2000. 35 — это на аренде, не считая штата.» (20:08) | «Если бы тренер в штате, для клиента персоналка была бы в 2 раза дороже. Не совсем мы будем биться, мы вроде как лоукостер.» (17:03)","Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)","Тип бизнеса: Сеть рекуррентных фитнес-клубов Urban Fit в Санкт-Петербурге. 12 действующих клубов + 4 в открытии (включая NEO с термальным комплексом, падл, теннис, сквош). Действующий клиент Fitbase. | Особенности бизнеса: Рекуррентная (подписочная) модель, первые в СПб с рекуррентом. 70% клиентов до 35 лет, 10% — 14-18 лет. Premium-budget позиционирование: качество клубов одно из лучших на рынке, цена — одна из самых низких. Динамика роста +69% клиентов на объект. Тренажёрный зал в среднем 1000-1200 м² (общий клуб 2000 м²). Средняя площадь клуба ~2000 м². 35 тренеров на клуб (90% на аренде, 10% в штате). Группа компаний инвестора параллельно держит классическую сеть Фитнесхаус. Договор подписан на 15 лет. Готовится 3 новых формата клубов помимо NEO.","Жан — коммерческий директор (приехал из Москвы в 2023 по приглашению инвестора). Евгений — директор по маркетингу. Инвестор — Алексей Фурсов (сеть Фитнесхаус, рестораны Евразия/Чё Груп). Генеральный директор — Мурад, доверенное лицо инвестора, тренируется 6 раз в неделю в разных клубах. Фитнес-директор — Юрий Александр. Директор групповых программ — Юлия.",,J029
Middle,S3,J4,Поддерживать высокий темп открытия новых клубов с доказательством модели инвестору,Когда инвестор изначально не давал бесконечный кардбланш — первые клубы доказывали модель. Сейчас доказали — растем активнее. С 7 в феврале 25 до 12 сейчас + 4 в открытии,"Хочу открывать клубы быстрее и больше, поскольку модель доказана. Кассовый разрыв на новом клубе около 3 месяцев, полный выход — 6-12 месяцев","Чтобы реализовать стратегию 50-60 клубов в СПб + новые форматы (NEO, ещё 3 формата в разработке)",Очень важно (стратегия),,,Fitbase масштабируется под рост сети,—,—,Аренда коммерческих помещений в СПб,"«Каждый раз когда спрашивают откуда лиды, статистика на первых клубах не падает, иногда вырастает больше чем в первый год.» (30:51) | «Кассовый разрыв 3 месяца, полный выход — 6-12 месяцев.» (62:34)","Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)","Тип бизнеса: Сеть рекуррентных фитнес-клубов Urban Fit в Санкт-Петербурге. 12 действующих клубов + 4 в открытии (включая NEO с термальным комплексом, падл, теннис, сквош). Действующий клиент Fitbase. | Особенности бизнеса: Рекуррентная (подписочная) модель, первые в СПб с рекуррентом. 70% клиентов до 35 лет, 10% — 14-18 лет. Premium-budget позиционирование: качество клубов одно из лучших на рынке, цена — одна из самых низких. Динамика роста +69% клиентов на объект. Тренажёрный зал в среднем 1000-1200 м² (общий клуб 2000 м²). Средняя площадь клуба ~2000 м². 35 тренеров на клуб (90% на аренде, 10% в штате). Группа компаний инвестора параллельно держит классическую сеть Фитнесхаус. Договор подписан на 15 лет. Готовится 3 новых формата клубов помимо NEO.","Жан — коммерческий директор (приехал из Москвы в 2023 по приглашению инвестора). Евгений — директор по маркетингу. Инвестор — Алексей Фурсов (сеть Фитнесхаус, рестораны Евразия/Чё Груп). Генеральный директор — Мурад, доверенное лицо инвестора, тренируется 6 раз в неделю в разных клубах. Фитнес-директор — Юрий Александр. Директор групповых программ — Юлия.",,J030
Middle,S3,J4,Управлять командой ручным регулированием без жёстких регламентов,"Когда команда выросла до 200-300+ тренеров + 24 топ-сотрудника. Все знают всех, генеральный директор тренируется в разных клубах 6 раз в неделю",Хочу сохранять модель личных отношений и прямой коммуникации (любой сотрудник может написать в личку директору) при росте — пока без формальных регламентов,Чтобы удерживать сотрудников через личное отношение и поддержку (Headhunter рейтинг высокий) и сохранять лояльность,"Важно — но понимаем что с ростом будет сложнее, есть и регламенты на бумаге",,,CRM Fitbase автоматизирует часть процессов так что ручной регуляции хватает,—,Личная вовлечённость управленцев,Невозможно масштабировать ручной подход бесконечно,"«Все знают друг друга, могут написать в личку. Это даёт решать индивидуальные вопросы.» (24:26) | «У топ-менеджмента есть синдром отличника — все погружены во все процессы, начиная от гендира.» (51:15)","Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)","Тип бизнеса: Сеть рекуррентных фитнес-клубов Urban Fit в Санкт-Петербурге. 12 действующих клубов + 4 в открытии (включая NEO с термальным комплексом, падл, теннис, сквош). Действующий клиент Fitbase. | Особенности бизнеса: Рекуррентная (подписочная) модель, первые в СПб с рекуррентом. 70% клиентов до 35 лет, 10% — 14-18 лет. Premium-budget позиционирование: качество клубов одно из лучших на рынке, цена — одна из самых низких. Динамика роста +69% клиентов на объект. Тренажёрный зал в среднем 1000-1200 м² (общий клуб 2000 м²). Средняя площадь клуба ~2000 м². 35 тренеров на клуб (90% на аренде, 10% в штате). Группа компаний инвестора параллельно держит классическую сеть Фитнесхаус. Договор подписан на 15 лет. Готовится 3 новых формата клубов помимо NEO.","Жан — коммерческий директор (приехал из Москвы в 2023 по приглашению инвестора). Евгений — директор по маркетингу. Инвестор — Алексей Фурсов (сеть Фитнесхаус, рестораны Евразия/Чё Груп). Генеральный директор — Мурад, доверенное лицо инвестора, тренируется 6 раз в неделю в разных клубах. Фитнес-директор — Юрий Александр. Директор групповых программ — Юлия.",,J031
Middle,S3,J4,Тестировать и запускать новые форматы клубов (NEO,pickleball,падл,сквош),"Когда инвестор любит создавать разные форматы (рестораны Евразия + Чё Груп; Фитнесхаус + Urban Fit). NEO — впервые с термальным комплексом, бассейном, падл/теннисом/сквошем. Pickleball — первые в России",,,"Хочу запускать 3 новых формата помимо NEO, проверять разные ЦА (рекуррент молодёжи vs термальный комплекс с разовым потреблением)","Чтобы расширить продуктовую линейку, занять новые ниши и сохранить экспансию","Стратегически важно, но риск размытия позиционирования",Fitbase должен поддерживать разные продукты в одной CRM,—,"Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)","Тип бизнеса: Сеть рекуррентных фитнес-клубов Urban Fit в Санкт-Петербурге. 12 действующих клубов + 4 в открытии (включая NEO с термальным комплексом, падл, теннис, сквош). Действующий клиент Fitbase. | Особенности бизнеса: Рекуррентная (подписочная) модель, первые в СПб с рекуррентом. 70% клиентов до 35 лет, 10% — 14-18 лет. Premium-budget позиционирование: качество клубов одно из лучших на рынке, цена — одна из самых низких. Динамика роста +69% клиентов на объект. Тренажёрный зал в среднем 1000-1200 м² (общий клуб 2000 м²). Средняя площадь клуба ~2000 м². 35 тренеров на клуб (90% на аренде, 10% в штате). Группа компаний инвестора параллельно держит классическую сеть Фитнесхаус. Договор подписан на 15 лет. Готовится 3 новых формата клубов помимо NEO.","Жан — коммерческий директор (приехал из Москвы в 2023 по приглашению инвестора). Евгений — директор по маркетингу. Инвестор — Алексей Фурсов (сеть Фитнесхаус, рестораны Евразия/Чё Груп). Генеральный директор — Мурад, доверенное лицо инвестора, тренируется 6 раз в неделю в разных клубах. Фитнес-директор — Юрий Александр. Директор групповых программ — Юлия.",,J032
Middle,S3,J4,Собирать и реагировать на обратную связь клиентов и сотрудников,"Когда читают всё — отзывы, соцсети, общаются с клиентами в саунах, наблюдают какие сравнения делают клиенты","Хочу видеть проблемы в моменте (например — сауна не убрана) и сразу писать управляющему. Читаем Headhunter, соцсети, личное присутствие",Чтобы вовремя реагировать на проблемы и удерживать высокий уровень сервиса,Важно — основа удержания клиентов,,,Fitbase CRM хранит истории клиентов,—,—,Возможно не масштабируется при росте до 50+ клубов,"«Если в сауне обсуждают что давно не чистили — только вышел, в телефоне пишу управляющему.» (53:40) | «Я, Женя, генеральный директор — все, поверьте, читаем отзывы.»  (54:22)","Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)","Тип бизнеса: Сеть рекуррентных фитнес-клубов Urban Fit в Санкт-Петербурге. 12 действующих клубов + 4 в открытии (включая NEO с термальным комплексом, падл, теннис, сквош). Действующий клиент Fitbase. | Особенности бизнеса: Рекуррентная (подписочная) модель, первые в СПб с рекуррентом. 70% клиентов до 35 лет, 10% — 14-18 лет. Premium-budget позиционирование: качество клубов одно из лучших на рынке, цена — одна из самых низких. Динамика роста +69% клиентов на объект. Тренажёрный зал в среднем 1000-1200 м² (общий клуб 2000 м²). Средняя площадь клуба ~2000 м². 35 тренеров на клуб (90% на аренде, 10% в штате). Группа компаний инвестора параллельно держит классическую сеть Фитнесхаус. Договор подписан на 15 лет. Готовится 3 новых формата клубов помимо NEO.","Жан — коммерческий директор (приехал из Москвы в 2023 по приглашению инвестора). Евгений — директор по маркетингу. Инвестор — Алексей Фурсов (сеть Фитнесхаус, рестораны Евразия/Чё Груп). Генеральный директор — Мурад, доверенное лицо инвестора, тренируется 6 раз в неделю в разных клубах. Фитнес-директор — Юрий Александр. Директор групповых программ — Юлия.",,J033
Small,S3,J4,Управлять ценообразованием в рамках рыночных границ,Когда подняли цену на 10% — минимальный негатив. Готовы поднимать дальше но в рамках цен законодателей рынка,Хочу повышать цену постепенно за качеством роста спроса,Чтобы расти в марже без потери позиционирования лоукоста,Тактическая,,,—,—,Эластичность спроса позволяет,Не можем стать дороже законодателей рынка,«Подняли на 10% — был негатив минимальный.» (55:10) | «Мы по стоимости находимся все равно внизу.»  (55:36),"Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)","Тип бизнеса: Сеть рекуррентных фитнес-клубов Urban Fit в Санкт-Петербурге. 12 действующих клубов + 4 в открытии (включая NEO с термальным комплексом, падл, теннис, сквош). Действующий клиент Fitbase. | Особенности бизнеса: Рекуррентная (подписочная) модель, первые в СПб с рекуррентом. 70% клиентов до 35 лет, 10% — 14-18 лет. Premium-budget позиционирование: качество клубов одно из лучших на рынке, цена — одна из самых низких. Динамика роста +69% клиентов на объект. Тренажёрный зал в среднем 1000-1200 м² (общий клуб 2000 м²). Средняя площадь клуба ~2000 м². 35 тренеров на клуб (90% на аренде, 10% в штате). Группа компаний инвестора параллельно держит классическую сеть Фитнесхаус. Договор подписан на 15 лет. Готовится 3 новых формата клубов помимо NEO.","Жан — коммерческий директор (приехал из Москвы в 2023 по приглашению инвестора). Евгений — директор по маркетингу. Инвестор — Алексей Фурсов (сеть Фитнесхаус, рестораны Евразия/Чё Груп). Генеральный директор — Мурад, доверенное лицо инвестора, тренируется 6 раз в неделю в разных клубах. Фитнес-директор — Юрий Александр. Директор групповых программ — Юлия.",,J034
Small,S3,J4,Подбирать молодой тренерский состав под молодую ЦА,"Когда исследование Technogym показало — для 25- лет нужны молодые тренеры, авторитеты по возрасту",Хочу преимущественно молодой тренерский состав в клубах с молодой ЦА (без точного % — наблюдают визуально),Чтобы молодёжь воспринимала тренеров как авторитет и социализировалась,Важно,,,—,—,Юлия Александр + директор групповых программ хорошо анализируют рынок труда,Кадровый голод в индустрии (пока не критичен у Urban Fit),"«Молодёжь выбирает экспертов ближе по возрасту. Мы уже к этому пришли — наблюдаю, у нас достаточно молодой тренерский состав.» (36:14)","Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)","Тип бизнеса: Сеть рекуррентных фитнес-клубов Urban Fit в Санкт-Петербурге. 12 действующих клубов + 4 в открытии (включая NEO с термальным комплексом, падл, теннис, сквош). Действующий клиент Fitbase. | Особенности бизнеса: Рекуррентная (подписочная) модель, первые в СПб с рекуррентом. 70% клиентов до 35 лет, 10% — 14-18 лет. Premium-budget позиционирование: качество клубов одно из лучших на рынке, цена — одна из самых низких. Динамика роста +69% клиентов на объект. Тренажёрный зал в среднем 1000-1200 м² (общий клуб 2000 м²). Средняя площадь клуба ~2000 м². 35 тренеров на клуб (90% на аренде, 10% в штате). Группа компаний инвестора параллельно держит классическую сеть Фитнесхаус. Договор подписан на 15 лет. Готовится 3 новых формата клубов помимо NEO.","Жан — коммерческий директор (приехал из Москвы в 2023 по приглашению инвестора). Евгений — директор по маркетингу. Инвестор — Алексей Фурсов (сеть Фитнесхаус, рестораны Евразия/Чё Груп). Генеральный директор — Мурад, доверенное лицо инвестора, тренируется 6 раз в неделю в разных клубах. Фитнес-директор — Юрий Александр. Директор групповых программ — Юлия.",,J035
Small,S3,J4,Развивать чат и социальные функции внутри МПК (через Fitbase),Когда 70% клиентов до 35 лет требуют социализации в цифровом пространстве. Законодательство РФ требует кириллицу — нельзя назвать тариф 'общий вайбик',"Хочу чтобы Fitbase добавлял социальные фичи (чаты, геймификация, знакомства, интерактивность) в МПК",Чтобы клиенты могли общаться между собой через приложение и оставались дольше,Стратегически важно для удержания молодой ЦА (запрос напрямую к Fitbase),,,Будущая ценность Fitbase — социальные фичи МПК (в разработке/обсуждении),Текущий МПК не имеет достаточно социальных функций для молодой аудитории,Активный диалог с командой Fitbase,Скорость разработки фичей,«Мы часто обсуждаем как раз таки чтобы Fitbase добавлял в приложение побольше плюшек особенно социальных.» (38:18),"Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)","Тип бизнеса: Сеть рекуррентных фитнес-клубов Urban Fit в Санкт-Петербурге. 12 действующих клубов + 4 в открытии (включая NEO с термальным комплексом, падл, теннис, сквош). Действующий клиент Fitbase. | Особенности бизнеса: Рекуррентная (подписочная) модель, первые в СПб с рекуррентом. 70% клиентов до 35 лет, 10% — 14-18 лет. Premium-budget позиционирование: качество клубов одно из лучших на рынке, цена — одна из самых низких. Динамика роста +69% клиентов на объект. Тренажёрный зал в среднем 1000-1200 м² (общий клуб 2000 м²). Средняя площадь клуба ~2000 м². 35 тренеров на клуб (90% на аренде, 10% в штате). Группа компаний инвестора параллельно держит классическую сеть Фитнесхаус. Договор подписан на 15 лет. Готовится 3 новых формата клубов помимо NEO.","Жан — коммерческий директор (приехал из Москвы в 2023 по приглашению инвестора). Евгений — директор по маркетингу. Инвестор — Алексей Фурсов (сеть Фитнесхаус, рестораны Евразия/Чё Груп). Генеральный директор — Мурад, доверенное лицо инвестора, тренируется 6 раз в неделю в разных клубах. Фитнес-директор — Юрий Александр. Директор групповых программ — Юлия.",,J036
Small,S3,J4,Использовать сильный визуал как часть треугольника привлечения,Когда визуал = одна из трёх точек привлечения (цена/доступность/визуал). Сайт Urban Fit оценен интервьюером как лучший в индустрии,"Хочу удерживать сильную визуальную идентику бренда (приложение, сайт, дизайн клубов) и протягивать её через все продукты",Чтобы выделяться при покупке лида и создавать эмоциональный отклик,Важно (часть треугольника привлечения),,,Брендирование МПК через Fitbase,—,—,Стоимость production,«Идентика важна. Но в первую очередь люди выбирают исходя из стоимости и доступности. На этом важно первично делать акцент.» (43:20),"Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)","Тип бизнеса: Сеть рекуррентных фитнес-клубов Urban Fit в Санкт-Петербурге. 12 действующих клубов + 4 в открытии (включая NEO с термальным комплексом, падл, теннис, сквош). Действующий клиент Fitbase. | Особенности бизнеса: Рекуррентная (подписочная) модель, первые в СПб с рекуррентом. 70% клиентов до 35 лет, 10% — 14-18 лет. Premium-budget позиционирование: качество клубов одно из лучших на рынке, цена — одна из самых низких. Динамика роста +69% клиентов на объект. Тренажёрный зал в среднем 1000-1200 м² (общий клуб 2000 м²). Средняя площадь клуба ~2000 м². 35 тренеров на клуб (90% на аренде, 10% в штате). Группа компаний инвестора параллельно держит классическую сеть Фитнесхаус. Договор подписан на 15 лет. Готовится 3 новых формата клубов помимо NEO.","Жан — коммерческий директор (приехал из Москвы в 2023 по приглашению инвестора). Евгений — директор по маркетингу. Инвестор — Алексей Фурсов (сеть Фитнесхаус, рестораны Евразия/Чё Груп). Генеральный директор — Мурад, доверенное лицо инвестора, тренируется 6 раз в неделю в разных клубах. Фитнес-директор — Юрий Александр. Директор групповых программ — Юлия.",,J037
Small,S3,J4,Конкурировать со студиями и старыми классическими клубами,Когда около станции метро Пионерская — 5 фитнес-клубов на перекрёстке. Один из трёх самых продающих у Urban Fit,"Хочу принимать конкуренцию спокойно — люди любят новое, перетекают сами. Старый клуб не может закрыться на ремонт без потери базы (рекуррент это особенно сложно)",Чтобы расти даже в плотной конкурентной среде,Тактика — не стратегия,,,—,—,"Новизна продукта, рекуррентная модель сложна для копирования",Жёсткая конкуренция требует постоянного качества,«5 фитнес-клубов на перекрёстке — один из самых продающих у нас.» (59:28) | «Старому клубу для перехода на рекуррент нужен ремонт + кассовый разрыв 6-12 месяцев.» (61:39),"Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)","Тип бизнеса: Сеть рекуррентных фитнес-клубов Urban Fit в Санкт-Петербурге. 12 действующих клубов + 4 в открытии (включая NEO с термальным комплексом, падл, теннис, сквош). Действующий клиент Fitbase. | Особенности бизнеса: Рекуррентная (подписочная) модель, первые в СПб с рекуррентом. 70% клиентов до 35 лет, 10% — 14-18 лет. Premium-budget позиционирование: качество клубов одно из лучших на рынке, цена — одна из самых низких. Динамика роста +69% клиентов на объект. Тренажёрный зал в среднем 1000-1200 м² (общий клуб 2000 м²). Средняя площадь клуба ~2000 м². 35 тренеров на клуб (90% на аренде, 10% в штате). Группа компаний инвестора параллельно держит классическую сеть Фитнесхаус. Договор подписан на 15 лет. Готовится 3 новых формата клубов помимо NEO.","Жан — коммерческий директор (приехал из Москвы в 2023 по приглашению инвестора). Евгений — директор по маркетингу. Инвестор — Алексей Фурсов (сеть Фитнесхаус, рестораны Евразия/Чё Груп). Генеральный директор — Мурад, доверенное лицо инвестора, тренируется 6 раз в неделю в разных клубах. Фитнес-директор — Юрий Александр. Директор групповых программ — Юлия.",,J038
Big,S1,J3,Запустить и эффективно управлять пилатес-студией с минимальными затратами времени и ресурсов,"Ярослава открывает первый проект в фитнес-индустрии, небольшая студия с ограниченным оборудованием и штатом тренеров, без администратора.","Запустить студию, наладить процессы работы, привлечь клиентов и удержать их, обеспечить удобное управление расписанием, оплатами и коммуникацией.","Студия работала стабильно, приносила доход, а Ярослава могла контролировать процессы без излишней ручной работы и стресса.","Очень высокая, потому что это базовая задача запуска и выживания бизнеса.",,,"Автоматизация, мобильное приложение, аналитика, единая система управления.","Ранее не было CRM-системы, учет велся вручную, отсутствовала автоматизация, аналитика, контроль процессов.","Автоматизация, интеграции с мессенджерами, мобильное приложение, поддержка и обучение.",,"«Пока всё понятно», «Нравится функционал»",Ярослава — открытие студии пилатеса,,,Не было специализированной системы.,J039
Middle,S1,J3,"Автоматизировать учет клиентов, расписание и оплату занятий","Студия готовится к запуску, есть необходимость вести учет клиентов, расписание и оплату без ручной работы.","Иметь единую систему, где можно вести клиентскую базу, расписание, продажи абонементов и оплату, включая онлайн и офлайн.","Упростить управление, избежать ошибок, не терять клиентов, быстро обрабатывать заявки и платежи.","Высокая, потому что без этого невозможно операционное управление.",,,CRM с интеграцией облачной кассы и мобильным приложением.,"Нет облачной кассы, двойной учет (физическая касса + ручной учет), отсутствие автоматизации.","Онлайн-оплата, интеграции с платежами, автоматическое списание занятий.",,—,Ярослава — открытие студии пилатеса,,,Ручной учет и терминал без CRM.,J040
Middle,S1,J3,Обеспечить удобную коммуникацию с клиентами через разные каналы в одном окне,"Клиенты пишут в Instagram, WhatsApp, Telegram, ВК, нужно быстро и удобно отвечать.","Получать и обрабатывать заявки из всех каналов в одном месте, быстро отвечать и записывать клиентов.","Повысить скорость реакции, не терять клиентов, контролировать коммуникацию и качество обслуживания.","Высокая, так как влияет на конверсию и удержание.",,,Чат с интеграцией мессенджеров.,"Нет единого окна коммуникации, заявки могут теряться.","Скорость ответа, контроль коммуникации.",,—,Ярослава — открытие студии пилатеса,,,"Разрозненные каналы (Instagram, мессенджеры).",J041
Middle,S1,J3,Обеспечить возможность тренерам самостоятельно отмечать посещения и записывать клиентов,"В студии нет администратора, тренеры должны вести часть работы с клиентами.","Дать тренерам доступ к приложению, чтобы они могли отмечать посещения и записывать клиентов на индивидуальные занятия.","Упростить работу, избежать потерь клиентов, повысить оперативность.","Высокая, так как нет администратора.",,,Мобильное приложение для тренеров.,"Нет системы, все делается вручную.","Самостоятельность тренеров, снижение нагрузки.",,—,Ярослава — открытие студии пилатеса,,,Не автоматизировано.,J042
Middle,S1,J3,Привлечь и удержать клиентов через автоматические уведомления и мотивацию,"Клиенты записываются, посещают занятия, нужно поддерживать их лояльность.","Автоматически отправлять уведомления о занятиях, окончании абонемента, поздравления, офферы, а также использовать геймификацию и реферальные программы.","Повысить посещаемость, удержать клиентов, стимулировать рекомендации.","Средняя-высокая, влияет на рост выручки.",,,Автоматические пуш-уведомления и геймификация.,Нет автоматических коммуникаций и удержания.,"Автоматизация, вовлечение клиентов.",,"«Автоматическое напоминание, я даже в этом процессе могу не участвовать»",Ярослава — открытие студии пилатеса,,,Не настроено.,J043
Small,S1,J3,Вести учет продаж и посещений в карточке клиента,Клиент покупает абонемент или посещает занятие.,"Фиксировать все покупки, посещения, отзывы и коммуникацию в одном месте.",Иметь полную историю клиента для анализа и работы с ним.,Средняя.,,,Карточка клиента в CRM.,Нет централизованного учета.,Централизация данных.,,—,Ярослава — открытие студии пилатеса,,,Разрозненный учет.,J044
Small,S1,J3,Вести расписание с учетом вместимости и листа ожидания,"Есть ограниченное количество реформеров, нужно контролировать количество записанных.","Автоматически ограничивать записи по вместимости, вести лист ожидания и уведомлять клиентов при освобождении места.","Не допускать переполнения, не терять клиентов, автоматизировать процесс.",Высокая.,,,Расписание с ограничением и листом ожидания.,Нет автоматического контроля загрузки.,Автоматизация записи.,,"«Мне нравится вариант, что сайта прям сразу можно посмотреть и оплатить, и не скачивая приложение»",Ярослава — открытие студии пилатеса,,,Ручное управление.,J045
